002 50010,30,0,0,0,0,0,1,0,1,15,26,4.151
002 50010,31,0,0,0,0,0,2,0,2,25,20,4.069
002 50010,32,1,0,0,0,1,0,0,6,22,19,3.971
002 50010,33,0,0,0,0,0,0,0,0,26,20,4.13
002 50010,36,0,0,0,0,0,0,0,1,25,16,4.107
002 50010,37,1,0,3,1,1,7,6,7,48,16,3.761
002 50010,42,0,0,0,0,0,0,0,23,22,6,3.9
002 50010,43,1,1,4,1,4,3,8,22,45,34,3.787
002 50010,49,1,4,0,3,7,8,9,15,18,16,3.489
002 50010,53,0,0,0,1,0,1,4,11,22,7,3.854
002 50010,59,0,0,0,0,0,0,4,22,25,5,3.859
002 50010,63,0,1,1,1,6,8,10,18,17,6,3.524
002 50010,64,0,0,1,0,3,8,9,36,22,20,3.747
002 50010,73,0,0,0,0,0,0,0,3,12,24,4.162
002 50010,76,0,1,0,2,3,6,7,31,20,11,3.673
002 50010,77,0,0,0,0,3,6,23,51,56,11,3.747
002 50010,80,0,0,0,0,0,0,12,20,11,9,3.775
002 50010,85,3,0,0,0,2,9,8,28,11,58,3.83
002 50010,86,2,0,1,0,1,8,0,19,8,50,3.888
002 50010,87,0,0,0,0,0,0,1,4,6,41,4.2
002 50010,90,5,0,0,1,1,5,19,18,28,73,3.835
002 50010,91,0,0,3,3,5,4,9,22,29,41,3.809
002 50010,94,0,0,0,0,0,0,2,11,12,8,3.93
002 50010,95,0,0,0,0,0,0,1,12,21,10,3.97
002 50010,99,0,0,0,0,1,0,0,18,21,68,4.127
002 50010,A1,0,0,0,0,1,1,0,10,46,35,4.056
002 50010,A2,0,0,0,0,1,0,3,13,29,34,4.036
002 50010,A4,1,0,0,0,0,0,1,3,4,38,4.123
002 50010,A5,1,0,0,2,1,13,7,20,37,58,3.891
002 50010,A6,0,1,1,0,3,5,5,34,28,17,3.768
002 50010,B1,1,0,0,0,1,0,0,9,18,5,3.809
002 50010,B2,0,0,1,0,1,1,4,9,26,3,3.802
